"","Sample","Site","Niche","Space","Region","Field","NO3","PO4","COD","TOC","NH4","Temp","Cond","Sal","pH","Dep","Lat","Lon","Region2","PCNM1","PCNM2"
"CJ1_B_Wt","CJ1_B_Wt","CJ1","water","Bottom","Hainan","Anthro.",0.233,0.0062,1.55,1,0.26,22.7,51409,34.2,8.19,4.945,19.42305556,108.8155556,"Hainan",-0.0827386179272357,-0.29809738668903
"CJ1_S_Wt","CJ1_S_Wt","CJ1","water","Surface","Hainan","Anthro.",0.724,0.0102,2.46,1.2,0.159,22.3,51367,34,8.16,0.938,19.42305556,108.8155556,"Hainan",-0.0827386179272355,-0.29809738668903
"LG1_B_Wt","LG1_B_Wt","LG1","water","Bottom","Hainan","Anthro.",0.214,0.0068,2.72,7.7,0.102,20,48071,32.8,8.17,6.316,20.00194444,109.6477778,"Hainan",-0.0828974981792185,-0.298160682321025
"LG1_S_Wt","LG1_S_Wt","LG1","water","Surface","Hainan","Anthro.",0.214,0.0062,1.78,2.5,0.266,19.9,50155,32.5,8.174,1.021,20.00194444,109.6477778,"Hainan",-0.0828974981792191,-0.298160682321024
"LG2_S_Wt","LG2_S_Wt","LG2","water","Surface","Hainan","Anthro.",0.129,0.0081,1.09,1.1,0.098,20,50125,32.6,8.15,1.085,20.00138889,109.6561111,"Hainan",-0.0829034450035841,-0.29815529751955
"SY1_B_Wt","SY1_B_Wt","SY1","water","Bottom","Hainan","Anthro.",0.191,0.0059,3.01,7.2,0.273,24.3,51514,33.7,8.13,6.641,18.31972222,109.4505556,"Hainan",-0.0965704942503207,-0.00274355646881491
"SY1_S_Wt","SY1_S_Wt","SY1","water","Surface","Hainan","Anthro.",0.359,0.0062,3.04,4.6,0.058,24.4,51496,33.4,8.08,0.508,18.31972222,109.4505556,"Hainan",-0.0965704942503206,-0.00274355646881491
"SY2_B_Wt","SY2_B_Wt","SY2","water","Bottom","Hainan","Anthro.",0.156,0.005,2.96,0.9,0.052,24.4,51546,34,8.15,3.707,18.215,109.4780556,"Hainan",-0.0966202273279202,-0.00214943987538528
"SY2_S_Wt","SY2_S_Wt","SY2","water","Surface","Hainan","Anthro.",0.136,0.0034,2.22,2.1,0.065,24.4,51506,33.7,8.15,1.009,18.215,109.4780556,"Hainan",-0.0966202273279202,-0.00214943987538525
"WC1_B_Wt","WC1_B_Wt","WC1","water","Bottom","Hainan","Anthro.",0.191,0.0034,2,3,0.293,20.3,51014,32.7,8.25,2.96,20.07916667,110.6444444,"Hainan",-0.0958764192683295,-0.00407878858753509
