"","Sample","Site","Niche","Space","Region","Field","TN","TP","AP","TOC","HLN","Lat","Lon","Region2","PCNM1","PCNM2"
"SY1_sedi_F","SY1_sedi_F","SY1","sedi","Far","Hainan","Anthro.",0.854,0.12,19.1,0.620649652,104,18.31972222,109.4505556,"Hainan",-0.101910286846079,0.0143267214501436
"SY2_sedi_F","SY2_sedi_F","SY2","sedi","Far","Hainan","Anthro.",1.12,0.06,14,1.461716937,115,18.215,109.4780556,"Hainan",-0.101946950249607,0.0149390498413142
"CJ1_sedi_N","CJ1_sedi_N","CJ1","sedi","Near","Hainan","Anthro.",0.396,0.09,19.5,0.980278422,19.5,19.42305556,108.8155556,"Hainan",-0.0943048164741791,-0.259078972501718
"CJ1_sedi_F","CJ1_sedi_F","CJ1","sedi","Far","Hainan","Anthro.",0.048,0.07,19,1.339907193,15.8,19.42305556,108.8155556,"Hainan",-0.0943048164741789,-0.259078972501718
"LG1_sedi_N","LG1_sedi_N","LG1","sedi","Near","Hainan","Anthro.",0.218,0.09,11.1,0.817865429,25.1,20.00194444,109.6477778,"Hainan",-0.0945334235116006,-0.259129645138928
"LG1_sedi_F","LG1_sedi_F","LG1","sedi","Far","Hainan","Anthro.",0.22,0.06,19.7,0.951276102,24.5,20.00194444,109.6477778,"Hainan",-0.0945334235116006,-0.259129645138928
"LG2_sedi_N","LG2_sedi_N","LG2","sedi","Near","Hainan","Anthro.",0.409,0.08,19.9,0.765661253,40.1,20.00138889,109.6561111,"Hainan",-0.0945399702014033,-0.259121036817553
"LG2_sedi_F","LG2_sedi_F","LG2","sedi","Far","Hainan","Anthro.",0.491,0.3,19.5,1.1774942,16.2,20.00138889,109.6561111,"Hainan",-0.0945399702014033,-0.259121036817553
"WC1_sedi_N","WC1_sedi_N","WC1","sedi","Near","Hainan","Anthro.",0.627,0.1,16.8,1.658932715,29.7,20.07916667,110.6444444,"Hainan",-0.101324722714137,0.0125793353475797
"WC1_sedi_F","WC1_sedi_F","WC1","sedi","Far","Hainan","Anthro.",0.329,0.14,22.3,0.537703016,49.9,20.07916667,110.6444444,"Hainan",-0.101324722714137,0.0125793353475797
"WC2_sedi_N","WC2_sedi_N","WC2","sedi","Near","Hainan","Anthro.",0.414,0.08,18.8,1.438515081,24.6,20.0775,110.6408333,"Hainan",-0.101326116737222,0.0125685548459053
"WC2_sedi_F","WC2_sedi_F","WC2","sedi","Far","Hainan","Anthro.",0.41,0.07,21.5,1.154292343,30.6,20.0775,110.6408333,"Hainan",-0.101326116737222,0.0125685548459053
"S1A","YS1_F","YS1","sedi","Far","Nansha","Non-Anthro.",0.295,0.11,10.7,0.138,15.1,9.664436111,113.0147167,"Nansha",0.288629569669631,-0.0643192513946108
"S1B","YS1_N","YS1","sedi","Near","Nansha","Non-Anthro.",0.308,0.1,12,0.281,15.1,9.664436111,113.0147167,"Nansha",0.288629569669631,-0.0643192513946108
"S2A","YS2_F","YS2","sedi","Far","Nansha","Non-Anthro.",0.346,0.1,12.3,0.169,11,9.65779564,112.9762171,"Nansha",0.288608162889248,-0.0643330707652803
"S2B","YS2_N","YS2","sedi","Near","Nansha","Non-Anthro.",0.385,0.1,9.8,0.171,9.6,9.65779564,112.9762171,"Nansha",0.288608162889248,-0.0643330707652803
"S22A","YS3_F","YS3","sedi","Far","Nansha","Non-Anthro.",0.422,0.14,14.7,0.238,8.7,9.64495,112.9774056,"Nansha",0.288608109286927,-0.0643330944389563
"S22B","YS3_N","YS3","sedi","Near","Nansha","Non-Anthro.",0.511,0.13,13.1,0.155,15.4,9.64495,112.9774056,"Nansha",0.288608109286927,-0.0643330944389563
"S3A","MJ1_F","MJ1","sedi","Far","Nansha","Non-Anthro.",0.354,0.11,20.5,0.161,11.1,9.890833333,115.5353333,"Nansha",0.285579000232177,0.123113108362788
"S3B","MJ1_N","MJ1","sedi","Near","Nansha","Non-Anthro.",0.346,0.1,17,0.156,9.2,9.890833333,115.5353333,"Nansha",0.285579000232177,0.123113108362788
"S4B","MJ4_N","MJ4","sedi","Near","Nansha","Non-Anthro.",0.34,0.09,12.3,0.2,15.6,9.883652778,115.5603944,"Nansha",0.287875860541839,-0.0629054687173227
"S6A","NF1_F","NF1","sedi","Far","Zhongsha","Non-Anthro.",0.361,0.07,10.4,0.055,7.6,15.92135,114.6456333,"ZhongXisha",-0.0163331319288415,0.434280929801679
"S6B","NF1_N","NF1","sedi","Near","Zhongsha","Non-Anthro.",0.293,0.08,7.3,0.167,13.8,15.92135,114.6456333,"ZhongXisha",-0.0163331319288415,0.434280929801679
"S7B","MB1_N","MB1","sedi","Near","Zhongsha","Non-Anthro.",0.336,0.09,8.5,0.172,17,15.9166,114.48295,"ZhongXisha",-0.0572073064368736,0.381711658302343
"S8A","XS1_F","ShY","sedi","Far","Xisha","Non-Anthro.",0.369,0.09,15.2,0.172,37.4,16.54868333,111.73845,"ZhongXisha",-0.101694326384715,0.0340152126969544
"S8B","XS1_N","ShY","sedi","Near","Xisha","Non-Anthro.",0.338,0.1,21.3,0.228,40.3,16.54868333,111.73845,"ZhongXisha",-0.101694326384715,0.0340152126969544
"S9A","XS2_F","GQ","sedi","Far","Xisha","Non-Anthro.",0.448,0.09,17.6,0.115,10.3,16.50876111,111.5811639,"ZhongXisha",-0.101715505934085,0.0333807795006272
"S9B","XS2_N","GQ","sedi","Near","Xisha","Non-Anthro.",0.338,0.11,16.1,0.132,7.4,16.50876111,111.5811639,"ZhongXisha",-0.101715505934085,0.0333807795006272
"S10A","XS3_F","ZS1","sedi","Far","Xisha","Non-Anthro.",0.362,0.21,15.4,0.189,22.2,16.96788333,112.2709278,"ZhongXisha",-0.101743884164036,0.0349124510789235
"S10B","XS3_N","ZS1","sedi","Near","Xisha","Non-Anthro.",0.442,0.14,17.2,0.21,12.8,16.96788333,112.2709278,"ZhongXisha",-0.101743884164036,0.0349124510789235
"S11A","XS4_F","ZS2","sedi","Far","Xisha","Non-Anthro.",0.267,0.11,13.6,0.127,14.6,16.95208333,112.3264722,"ZhongXisha",-0.101688112945426,0.0352573436482028
"S11B","XS4_N","ZS2","sedi","Near","Xisha","Non-Anthro.",0.321,0.11,14.8,0.321,7.2,16.95208333,112.3264722,"ZhongXisha",-0.101688112945426,0.0352573436482028
