"","Sample","Site","Niche","Space","Region","Field","Region2"
"SY1_sedi_F","SY1_sedi_F","SY1","sedi","Far","Hainan","Anthro.","Hainan"
"SY2_sedi_F","SY2_sedi_F","SY2","sedi","Far","Hainan","Anthro.","Hainan"
"CJ1_sedi_N","CJ1_sedi_N","CJ1","sedi","Near","Hainan","Anthro.","Hainan"
"CJ1_sedi_F","CJ1_sedi_F","CJ1","sedi","Far","Hainan","Anthro.","Hainan"
"LG1_sedi_N","LG1_sedi_N","LG1","sedi","Near","Hainan","Anthro.","Hainan"
"LG1_sedi_F","LG1_sedi_F","LG1","sedi","Far","Hainan","Anthro.","Hainan"
"LG2_sedi_N","LG2_sedi_N","LG2","sedi","Near","Hainan","Anthro.","Hainan"
"LG2_sedi_F","LG2_sedi_F","LG2","sedi","Far","Hainan","Anthro.","Hainan"
"WC1_sedi_N","WC1_sedi_N","WC1","sedi","Near","Hainan","Anthro.","Hainan"
"WC1_sedi_F","WC1_sedi_F","WC1","sedi","Far","Hainan","Anthro.","Hainan"
"WC2_sedi_N","WC2_sedi_N","WC2","sedi","Near","Hainan","Anthro.","Hainan"
"WC2_sedi_F","WC2_sedi_F","WC2","sedi","Far","Hainan","Anthro.","Hainan"
"S1A","YS1_F","YS1","sedi","Far","Nansha","Non-Anthro.","Nansha"
"S1B","YS1_N","YS1","sedi","Near","Nansha","Non-Anthro.","Nansha"
"S2A","YS2_F","YS2","sedi","Far","Nansha","Non-Anthro.","Nansha"
"S2B","YS2_N","YS2","sedi","Near","Nansha","Non-Anthro.","Nansha"
"S22A","YS3_F","YS3","sedi","Far","Nansha","Non-Anthro.","Nansha"
"S22B","YS3_N","YS3","sedi","Near","Nansha","Non-Anthro.","Nansha"
"S3A","MJ1_F","MJ1","sedi","Far","Nansha","Non-Anthro.","Nansha"
"S3B","MJ1_N","MJ1","sedi","Near","Nansha","Non-Anthro.","Nansha"
"S4B","MJ4_N","MJ4","sedi","Near","Nansha","Non-Anthro.","Nansha"
"S6A","NF1_F","NF1","sedi","Far","Zhongsha","Non-Anthro.","ZhongXisha"
"S6B","NF1_N","NF1","sedi","Near","Zhongsha","Non-Anthro.","ZhongXisha"
"S7B","MB1_N","MB1","sedi","Near","Zhongsha","Non-Anthro.","ZhongXisha"
"S8A","XS1_F","ShY","sedi","Far","Xisha","Non-Anthro.","ZhongXisha"
"S8B","XS1_N","ShY","sedi","Near","Xisha","Non-Anthro.","ZhongXisha"
"S9A","XS2_F","GQ","sedi","Far","Xisha","Non-Anthro.","ZhongXisha"
"S9B","XS2_N","GQ","sedi","Near","Xisha","Non-Anthro.","ZhongXisha"
"S10A","XS3_F","ZS1","sedi","Far","Xisha","Non-Anthro.","ZhongXisha"
"S10B","XS3_N","ZS1","sedi","Near","Xisha","Non-Anthro.","ZhongXisha"
"S11A","XS4_F","ZS2","sedi","Far","Xisha","Non-Anthro.","ZhongXisha"
"S11B","XS4_N","ZS2","sedi","Near","Xisha","Non-Anthro.","ZhongXisha"
"S12B","BJ1_N","BJ1","sedi","Near","Xisha","Non-Anthro.","ZhongXisha"
"S13A","BJ2_F","BJ2","sedi","Far","Xisha","Non-Anthro.","ZhongXisha"
"S13B","BJ2_N","BJ2","sedi","Near","Xisha","Non-Anthro.","ZhongXisha"
"S14A","BJ3_F","BJ3","sedi","Far","Xisha","Non-Anthro.","ZhongXisha"
"S14B","BJ3_N","BJ3","sedi","Near","Xisha","Non-Anthro.","ZhongXisha"
"CJ1_B_Wt","CJ1_B_Wt","CJ1","water","Bottom","Hainan","Anthro.","Hainan"
"CJ1_S_Wt","CJ1_S_Wt","CJ1","water","Surface","Hainan","Anthro.","Hainan"
"LG1_B_Wt","LG1_B_Wt","LG1","water","Bottom","Hainan","Anthro.","Hainan"
"LG1_S_Wt","LG1_S_Wt","LG1","water","Surface","Hainan","Anthro.","Hainan"
"LG2_S_Wt","LG2_S_Wt","LG2","water","Surface","Hainan","Anthro.","Hainan"
"SY1_B_Wt","SY1_B_Wt","SY1","water","Bottom","Hainan","Anthro.","Hainan"
"SY1_S_Wt","SY1_S_Wt","SY1","water","Surface","Hainan","Anthro.","Hainan"
"SY2_B_Wt","SY2_B_Wt","SY2","water","Bottom","Hainan","Anthro.","Hainan"
"SY2_S_Wt","SY2_S_Wt","SY2","water","Surface","Hainan","Anthro.","Hainan"
"WC1_B_Wt","WC1_B_Wt","WC1","water","Bottom","Hainan","Anthro.","Hainan"
"WC1_S_Wt","WC1_S_Wt","WC1","water","Surface","Hainan","Anthro.","Hainan"
"WC2_B_Wt","WC2_B_Wt","WC2","water","Bottom","Hainan","Anthro.","Hainan"
"WC2_S_Wt","WC2_S_Wt","WC2","water","Surface","Hainan","Anthro.","Hainan"
"W18_Wt","YS1a_Wt","YS1","water","Surface","Nansha","Non-Anthro.","Nansha"
"W19_Wt","YS1b_Wt","YS1","water","Bottom","Nansha","Non-Anthro.","Nansha"
"W20_Wt","YS2a_Wt","YS2","water","Surface","Nansha","Non-Anthro.","Nansha"
"W21_Wt","YS2b_Wt","YS2","water","Bottom","Nansha","Non-Anthro.","Nansha"
"W22_Wt","MJ1a_Wt","MJ1","water","Surface","Nansha","Non-Anthro.","Nansha"
"W23_Wt","MJ1b_Wt","MJ1","water","Bottom","Nansha","Non-Anthro.","Nansha"
"W24_Wt","MJ4a_Wt","MJ4","water","Surface","Nansha","Non-Anthro.","Nansha"
"W25_Wt","MJ4b_Wt","MJ4","water","Bottom","Nansha","Non-Anthro.","Nansha"
"W26_Wt","MJ5a_Wt","MJ5","water","Surface","Nansha","Non-Anthro.","Nansha"
"W27_Wt","MJ5b_Wt","MJ5","water","Bottom","Nansha","Non-Anthro.","Nansha"
"W28_Wt","NF1a_Wt","NF1","water","Surface","Zhongsha","Non-Anthro.","ZhongXisha"
"W29_Wt","NF1b_Wt","NF1","water","Bottom","Zhongsha","Non-Anthro.","ZhongXisha"
"W30_Wt","MB1a_Wt","MB1","water","Surface","Zhongsha","Non-Anthro.","ZhongXisha"
"W31_Wt","MB1b_Wt","MB1","water","Bottom","Zhongsha","Non-Anthro.","ZhongXisha"
"W32_Wt","XS1a_Wt","XS1","water","Surface","Xisha","Non-Anthro.","ZhongXisha"
"W33_Wt","XS1b_Wt","XS1","water","Bottom","Xisha","Non-Anthro.","ZhongXisha"
"W34_Wt","XS2a_Wt","XS2","water","Surface","Xisha","Non-Anthro.","ZhongXisha"
"W35_Wt","XS2b_Wt","XS2","water","Bottom","Xisha","Non-Anthro.","ZhongXisha"
"W36_Wt","XS3a_Wt","XS3","water","Surface","Xisha","Non-Anthro.","ZhongXisha"
"W37_Wt","XS3b_Wt","XS3","water","Bottom","Xisha","Non-Anthro.","ZhongXisha"
"W38_Wt","XS4a_Wt","XS4","water","Surface","Xisha","Non-Anthro.","ZhongXisha"
"W39_Wt","XS4b_Wt","XS4","water","Bottom","Xisha","Non-Anthro.","ZhongXisha"
"W40_Wt","BJ1a_Wt","BJ1","water","Surface","Xisha","Non-Anthro.","ZhongXisha"
"W41_Wt","BJ1b_Wt","BJ1","water","Bottom","Xisha","Non-Anthro.","ZhongXisha"
"W42_Wt","BJ2a_Wt","BJ2","water","Surface","Xisha","Non-Anthro.","ZhongXisha"
"W43_Wt","BJ2b_Wt","BJ2","water","Bottom","Xisha","Non-Anthro.","ZhongXisha"
"W44_Wt","BJ3a_Wt","BJ3","water","Surface","Xisha","Non-Anthro.","ZhongXisha"
"W45_Wt","BJ3b_Wt","BJ3","water","Bottom","Xisha","Non-Anthro.","ZhongXisha"
